Date,Time SB,cruise,station,depth,lat,lon,salinity
20100202,22:23:00,CV3,1,2.7,41.31166667,-70.84666667,32.256
20100203,22:32:00,CV3,7,2.5,39.72866667,-72.04583333,33.471
20100203,17:21:00,CV3,9,3.5,39.4465,-72.64266667,34.073
20100203,23:34:00,CV3,11,3,39.64816667,-73.15016667,33.74
20100204,11:36:00,CV3,14.1,0,38.533,-73.2465,-999
20100204,15:31:00,CV3,14.2,0,38.30312,-73.77228333,-999
20100204,18:05:00,CV3,15,0,38.26976167,-74.2047,-999
20100204,21:48:00,CV3,16.1,0,37.836,-74.15933333,-999
20100204,23:37:00,CV3,17,3.5,37.60963333,-74.2869,34.611
20100208,18:29:00,CV3,25,3.1,37.08925,-75.67735,31.64
20100208,21:00:00,CV3,25.1,0.87,37.42366667,-75.44383333,-999
20100208,23:36:00,CV3,26,6.5,37.76833333,-75.21733333,31.884
20100209,12:19:00,CV3,30,2.8,39.06133333,-74.117,33.773
20100209,13:30:00,CV3,30.1,0,39.20666667,-74.08666667,-999
20100209,18:03:00,CV3,31,2.7,39.56316667,-74.045,31.532
20100209,17:47:00,CV3,32,0,39.60505333,-73.77558333,-999
20100209,20:00:00,CV3,33,0,39.92633333,-73.88233333,-999
20100210,22:32:00,CV3,34,3.3,40.17965,-73.1941,33.119
20100210,11:11:00,CV3,39,0,40.89741667,-71.81546667,31.853
20100212,15:03:00,CV3,39.1,0,41.987235,-69.96703333,-999
20100212,17:36:00,CV3,40,3.3,41.64191667,-69.61911667,32.743
20100212,20:26:00,CV3,42,0,41.60033333,-69.21683333,-999
20100212,22:26:00,CV3,43,4.7,41.47906667,-69.09736667,32.86
20100213,11:58:00,CV3,48,2.2,40.56573333,-68.16295,33.104
20100213,15:20:00,CV3,49,0,40.39716667,-67.69233333,-999
20100213,17:05:00,CV3,50,3.5,40.60085167,-67.7549,32.796
20100213,19:29:00,CV3,51,0,40.85233333,-67.486,-999
20100213,21:42:00,CV3,52,0,40.89616667,-67.0825,-999
20100213,23:20:00,CV3,53,3.4,41.02175,-66.9235,32.513
20100214,10:44:00,CV3,58,0,41.05613333,-66.41466667,35.273
20100214,14:37:00,CV3,59,0,41.3945,-66.383,-999
20100214,17:55:00,CV3,60,0,41.8075,-66.15183333,-999
20100214,19:50:00,CV3,61,0,42.05733333,-66.01166667,-999
20100214,21:55:00,CV3,62,0,42.21486667,-65.77938333,-999
20100215,17:08:00,CV3,67.1,0,41.84866667,-67.6765,-999
20100215,19:05:00,CV3,68,0,41.68416667,-67.61166667,-999
20100216,12:05:00,CV3,75,2.2,42.15828333,-68.8709,32.977
20100216,14:50:00,CV3,76,0,42.41566667,-69.339,-999
20100216,17:28:00,CV3,77,3.3,42.50503333,-69.652,32.38
20100216,20:56:00,CV3,79,0,42.69016667,-70.0875,-999
20100217,0:50:00,CV3,81,0,43.1125,-70.091,-999
20100217,12:28:00,CV3,89,3.4,42.42666667,-70.45166667,32.273
20100217,15:00:00,CV3,91,0,42.4365,-70.211,-999
20100217,17:47:00,CV3,93,5.5,42.17516667,-70.1045,32.59
20100217,20:05:00,CV3,94,0,42.06533333,-70.4555,32.261
20100526,17:52:00,CV4,1,2,41.10908667,-71.10888933,31.512
20100526,22:20:00,CV4,3,2.8,41.09593333,-70.57281667,31.785
20100527,10:56:00,CV4,8,3,40.35483333,-71.91783333,31.854
20100527,16:34:00,CV4,11,3.1,40.0258,-72.22213333,32.146
20100527,22:31:00,CV4,14,3.3,39.7286,-72.53726667,32.24
20100528,10:45:00,CV4,20,2.7,39.0611,-73.31871667,32.017
20100528,18:27:00,CV4,23,2.8,38.5151,-73.69303333,32.066
20100528,22:52:00,CV4,24,3.3,38.44278333,-74.44518333,31.133
20100529,10:50:00,CV4,30,3,37.33718333,-74.5958,31.972
20100529,14:02:00,CV4,30.1,0,37.02006667,-75.09203333,-999
20100529,16:07:00,CV4,31,0,36.81226667,-75.37326667,31.441
20100529,18:12:00,CV4,32,0,36.6439,-75.07461667,-999
20100529,20:12:00,CV4,32.1,0,36.35883333,-75.01365,-999
20100529,22:18:00,CV4,33,2.9,36.07273333,-74.95863333,29.618
20100530,10:34:00,CV4,39,2.8,36.48313333,-75.6318,29.618
20100530,14:09:00,CV4,41,0,36.76785,-75.91106667,-999
20100530,16:01:00,CV4,41.1,0,36.95675,-75.66518333,-999
20100530,16:46:00,CV4,41.2,0,37.04405,-75.56563333,-999
20100530,18:02:00,CV4,42,2.9,37.1451,-75.44926667,31.275
20100530,19:11:00,CV4,43,0,37.31148333,-75.44755,-999
20100530,20:26:00,CV4,43.1,0,37.4799,-75.3816,-999
20100530,23:24:00,CV4,45,2.7,37.81986667,-75.14116667,30.231
20100531,5:31:00,CV4,46,0,38.81333333,-75.04833333,-999
20100531,10:35:00,CV4,48,2.4,39.0163,-74.26066667,31.275
20100531,14:58:00,CV4,50.1,0,39.49788333,-74.12403333,-999
20100531,16:59:00,CV4,51,2.8,39.68978333,-73.97206667,29.969
20100531,18:18:00,CV4,51.1,0,39.86983333,-73.85268333,-999
20100531,19:20:00,CV4,51.2,0,40.008,-73.73568333,-999
20100531,20:20:00,CV4,51.3,0,40.14531667,-73.62358333,-999
20100531,23:09:00,CV4,53,2.5,40.44706667,-73.48243333,30.964
20100601,11:01:00,CV4,58,2.4,40.97753333,-71.91106667,30.525
20100601,14:48:00,CV4,59.1,0,40.60283333,-71.35468333,-999
20100601,16:16:00,CV4,60,3.2,40.49888333,-71.16438333,32.378
20100601,18:32:00,CV4,60.1,0,40.3389,-70.90616667,-999
20100601,19:51:00,CV4,61,0,40.23083333,-70.68416667,-999
20100601,22:51:00,CV4,62,4.5,40.35371167,-70.2189,32.358
20100602,11:17:00,CV4,66.1,0,40.61471667,-68.76521667,-999
20100602,16:09:00,CV4,69,0,40.14786667,-69.12088333,-999
20100602,19:04:00,CV4,69.1,0,40.1928,-68.67316667,-999
20100602,22:48:00,CV4,71,3.8,40.34305,-68.3004,32.567
20100603,11:21:00,CV4,77,0,40.63955,-67.11915,32.086
20100603,14:52:00,CV4,80,0,41.02031667,-67.1135,-999
20100603,16:42:00,CV4,81,2.9,40.98401667,-66.84391667,32.269
20100603,18:44:00,CV4,82,0,40.9557,-66.475,-999
20100603,22:21:00,CV4,83,4,41.38936667,-66.2714,32.086
20100604,6:23:00,CV4,87,4,42.23166667,-65.77166667,32.277
20100604,11:18:00,CV4,89,2.1,42.13845,-66.35423333,31.779
20100604,14:50:00,CV4,91,0,41.81545,-66.84861667,-999
20100604,17:40:00,CV4,92,3,41.772,-66.46211667,32.096
20100604,19:42:00,CV4,93,0,41.52323333,-66.67653333,-999
20100604,22:05:00,CV4,94,2.8,41.39128333,-67.0019,32.239
20100605,10:50:00,CV4,101,0,41.33381667,-68.84701667,32.049
20100605,15:00:00,CV4,103,0,41.268,-69.51416667,-999
20100605,17:11:00,CV4,104,2.7,41.52821667,-69.67691667,31.133
20100605,19:30:00,CV4,104.1,0,41.88796667,-69.56866667,31.133
20100605,22:10:00,CV4,105,3.3,42.1778,-69.48273333,31.542
20100606,11:04:00,CV4,109,2.9,41.81418333,-68.86793333,31.417
